Region.Label,Month,Year,Area,Sample.Label,Effort,perpendicular distance (m)
Rushikulya,december,2012,0,9,3,51.43
Rushikulya,december,2012,0,9,3,87.7
Rushikulya,december,2012,0,9,3,51.42
Rushikulya,december,2012,0,9,3,91.86
Rushikulya,december,2012,0,9,3,191.51
Rushikulya,december,2012,0,9,3,129.9
Rushikulya,december,2012,0,9,3,234.92
Rushikulya,december,2012,0,9,3,96.42
Rushikulya,december,2012,0,9,3,34.2
Rushikulya,december,2012,0,9,3,328.89
Rushikulya,december,2012,0,9,3,147.72
Rushikulya,december,2012,0,9,3,196.96
Rushikulya,december,2012,0,9,3,114.91
Rushikulya,december,2012,0,9,3,89.99
Rushikulya,december,2012,0,9,3,129.9
Rushikulya,december,2012,0,9,3,131.55
Rushikulya,december,2012,0,9,3,117.46
Rushikulya,december,2012,0,9,3,78.9
Rushikulya,december,2012,0,9,3,114.26
Rushikulya,december,2012,0,9,3,32.96
Rushikulya,december,2012,0,9,3,0
Rushikulya,december,2012,0,9,3,23.6
Rushikulya,december,2012,0,9,3,47.2
Rushikulya,december,2012,0,9,3,68.34
Rushikulya,december,2012,0,9,3,71.93
Rushikulya,december,2012,0,9,3,48.21
Rushikulya,december,2012,0,9,3,58.27
Rushikulya,december,2012,0,9,3,259.81
Rushikulya,december,2012,0,9,3,160.7
Rushikulya,december,2012,0,9,3,96.42
Rushikulya,december,2012,0,9,3,114.91
Rushikulya,december,2012,0,9,3,153.21
Rushikulya,december,2012,0,9,3,147.72
Rushikulya,december,2012,0,9,3,229.81
Rushikulya,december,2012,0,9,3,0
Rushikulya,december,2012,0,9,3,187.94
Rushikulya,december,2012,0,9,3,76.6
Rushikulya,december,2012,0,9,3,114.91
Rushikulya,december,2012,0,9,3,46.98
Rushikulya,december,2012,0,9,3,140.95
Rushikulya,december,2012,0,9,3,234.92
Rushikulya,december,2012,0,9,3,393.92
Rushikulya,december,2012,0,9,3,140.95
Rushikulya,december,2012,0,9,3,259.81
Rushikulya,december,2012,0,9,3,187.94
Rushikulya,december,2012,0,10,3,114.91
Rushikulya,december,2012,0,10,3,129.9
Rushikulya,december,2012,0,10,3,98.48
Rushikulya,december,2012,0,10,3,129.9
Rushikulya,december,2012,0,10,3,102.85
Rushikulya,december,2012,0,10,3,234.92
Rushikulya,december,2012,0,10,3,75.18
Rushikulya,december,2012,0,10,3,46.98
Rushikulya,december,2012,0,10,3,229.81
Rushikulya,december,2012,0,10,3,76.6
Rushikulya,december,2012,0,10,3,32.14
Rushikulya,december,2012,0,10,3,64.28
Rushikulya,december,2012,0,10,3,114.91
Rushikulya,december,2012,0,10,3,38.3
Rushikulya,december,2012,0,10,3,129.9
Rushikulya,december,2012,0,10,3,93.97
Rushikulya,december,2012,0,10,3,191.51
Rushikulya,december,2012,0,10,3,147.72
Rushikulya,december,2012,0,10,3,246.2
Rushikulya,december,2012,0,10,3,38.3
Rushikulya,december,2012,0,10,3,140.95
Rushikulya,december,2012,0,10,3,153.21
Rushikulya,december,2012,0,10,3,86.6
Rushikulya,december,2012,0,10,3,173.21
Rushikulya,december,2012,0,10,3,98.48
Rushikulya,december,2012,0,10,3,196.96
Rushikulya,december,2012,0,10,3,149.43
Rushikulya,december,2012,0,10,3,234.92
Rushikulya,december,2012,0,10,3,191.51
Rushikulya,december,2012,0,10,3,246.2
Rushikulya,december,2012,0,10,3,216.51
Rushikulya,december,2012,0,10,3,140.95
Rushikulya,december,2012,0,10,3,147.84
Rushikulya,december,2012,0,10,3,191.51
Rushikulya,december,2012,0,10,3,187.94
Rushikulya,december,2012,0,10,3,187.94
Rushikulya,december,2012,0,10,3,187.94
Rushikulya,december,2012,0,10,3,129.9
Rushikulya,december,2012,0,10,3,196.96
Rushikulya,december,2012,0,10,3,86.6
Rushikulya,december,2012,0,10,3,129.9
Rushikulya,december,2012,0,10,3,93.97
Rushikulya,december,2012,0,10,3,234.92
Rushikulya,december,2012,0,10,3,114.91
Rushikulya,december,2012,0,10,3,375.88
Rushikulya,december,2012,0,10,3,192.84
Rushikulya,december,2012,0,10,3,114.91
Rushikulya,december,2012,0,10,3,344.68
Rushikulya,december,2012,0,10,3,295.44
Rushikulya,december,2012,0,10,3,149.43
Rushikulya,december,2012,0,10,3,191.51
Rushikulya,december,2012,0,10,3,96.42
Rushikulya,december,2012,0,10,3,246.2
Rushikulya,december,2012,0,10,3,160.7
Rushikulya,december,2012,0,10,3,64.28
Rushikulya,december,2012,0,10,3,191.51
Rushikulya,december,2012,0,10,3,114.91
Rushikulya,december,2012,0,10,3,281.91
Rushikulya,december,2012,0,10,3,76.6
Rushikulya,december,2012,0,10,3,96.42
Rushikulya,december,2012,0,10,3,51.3
Rushikulya,december,2012,0,10,3,76.6
Rushikulya,december,2012,0,10,3,346.41
Rushikulya,december,2012,0,10,3,129.9
Rushikulya,december,2012,0,10,3,147.72
Rushikulya,december,2012,0,10,3,49.24
Rushikulya,december,2012,0,10,3,76.6
Rushikulya,december,2012,0,10,3,147.72
Rushikulya,december,2012,0,10,3,140.95
Rushikulya,december,2012,0,10,3,147.72
Rushikulya,december,2012,0,10,3,46.98
Rushikulya,december,2012,0,11,3,48.3
Rushikulya,december,2012,0,11,3,32.14
Rushikulya,december,2012,0,11,3,56.38
Rushikulya,december,2012,0,11,3,68.4
Rushikulya,december,2012,0,11,3,38.3
Rushikulya,december,2012,0,11,3,51.96
Rushikulya,december,2012,0,11,3,49.24
Rushikulya,december,2012,0,11,3,25
Rushikulya,december,2012,0,11,3,85.51
Rushikulya,december,2012,0,11,3,86.6
Rushikulya,december,2012,0,11,3,93.97
Rushikulya,december,2012,0,11,3,138.56
Rushikulya,december,2012,0,11,3,129.9
Rushikulya,december,2012,0,11,3,96.42
Rushikulya,december,2012,0,11,3,64.28
Rushikulya,december,2012,0,11,3,76.6
Rushikulya,december,2012,0,11,3,114.91
Rushikulya,december,2012,0,11,3,246.2
Rushikulya,december,2012,0,11,3,76.6
Rushikulya,december,2012,0,11,3,17.1
Rushikulya,december,2012,0,11,3,86.6
Rushikulya,december,2012,0,11,3,49.24
Rushikulya,december,2012,0,11,3,114.91
Rushikulya,december,2012,0,11,3,100
Rushikulya,december,2012,0,11,3,51.96
Rushikulya,december,2012,0,11,3,75
Rushikulya,december,2012,0,11,3,6.84
Rushikulya,december,2012,0,11,3,46.98
Rushikulya,december,2012,0,11,3,114.91
Rushikulya,december,2012,0,11,3,64.28
Rushikulya,december,2012,0,11,3,43.3
Rushikulya,december,2012,0,11,3,64.28
Rushikulya,december,2012,0,11,3,37.59
Rushikulya,december,2012,0,11,3,56.38
Rushikulya,december,2012,0,11,3,76.6
Rushikulya,december,2012,0,11,3,98.48
Rushikulya,december,2012,0,11,3,64.28
Rushikulya,december,2012,0,11,3,140.95
Rushikulya,december,2012,0,12,3,129.9
Rushikulya,december,2012,0,12,3,53.62
Rushikulya,december,2012,0,12,3,191.51
Rushikulya,december,2012,0,12,3,196.96
Rushikulya,december,2012,0,12,3,224.98
Rushikulya,december,2012,0,12,3,229.81
Rushikulya,december,2012,0,12,3,375.88
Rushikulya,december,2012,0,12,3,64.28
Rushikulya,december,2012,0,12,3,76.6
Rushikulya,december,2012,0,12,3,259.81
Rushikulya,december,2012,0,12,3,114.91
Rushikulya,december,2012,0,12,3,76.6
Rushikulya,december,2012,0,12,3,114.91
Rushikulya,december,2012,0,12,3,191.51
Rushikulya,december,2012,0,12,3,114.91
Rushikulya,december,2012,0,12,3,114.91
Rushikulya,december,2012,0,12,3,114.91
Rushikulya,december,2012,0,12,3,38.3
Rushikulya,december,2012,0,12,3,76.6
Rushikulya,december,2012,0,12,3,114.91
Rushikulya,december,2012,0,12,3,76.6
Rushikulya,december,2012,0,12,3,86.6
Rushikulya,december,2012,0,12,3,76.6
Rushikulya,december,2012,0,12,3,56.38
Rushikulya,december,2012,0,12,3,32.14
Rushikulya,december,2012,0,12,3,93.97
Rushikulya,december,2012,0,12,3,93.97
Rushikulya,december,2012,0,12,3,65.78
Rushikulya,december,2012,0,12,3,86.6
Rushikulya,december,2012,0,12,3,147.72
Rushikulya,december,2012,0,12,3,49.24
Rushikulya,december,2012,0,12,3,93.97
Rushikulya,december,2012,0,12,3,38.3
Rushikulya,december,2012,0,12,3,98.48
